,species,sepal_length,sepal_width,petal_length,petal_width
sample_1,setosa,5.1,3.5,1.4,0.2
sample_2,setosa,4.9,3,1.4,0.2
sample_3,setosa,4.7,3.2,1.3,0.2
sample_4,setosa,4.6,3.1,1.5,0.2
sample_5,setosa,5,3.6,1.4,0.2
sample_6,setosa,5.4,3.9,1.7,0.4
sample_7,setosa,4.6,3.4,1.4,0.3
sample_8,setosa,5,3.4,1.5,0.2
sample_9,setosa,4.4,2.9,1.4,0.2
sample_10,setosa,4.9,3.1,1.5,0.1
sample_11,setosa,5.4,3.7,1.5,0.2
sample_12,setosa,4.8,3.4,1.6,0.2
sample_13,setosa,4.8,3,1.4,0.1
sample_14,setosa,4.3,3,1.1,0.1
sample_15,setosa,5.8,4,1.2,0.2
sample_16,setosa,5.7,4.4,1.5,0.4
sample_17,setosa,5.4,3.9,1.3,0.4
sample_18,setosa,5.1,3.5,1.4,0.3
sample_19,setosa,5.7,3.8,1.7,0.3
sample_20,setosa,5.1,3.8,1.5,0.3
sample_21,setosa,5.4,3.4,1.7,0.2
sample_22,setosa,5.1,3.7,1.5,0.4
sample_23,setosa,4.6,3.6,1,0.2
sample_24,setosa,5.1,3.3,1.7,0.5
sample_25,setosa,4.8,3.4,1.9,0.2
sample_26,setosa,5,3,1.6,0.2
sample_27,setosa,5,3.4,1.6,0.4
sample_28,setosa,5.2,3.5,1.5,0.2
sample_29,setosa,5.2,3.4,1.4,0.2
sample_30,setosa,4.7,3.2,1.6,0.2
sample_31,setosa,4.8,3.1,1.6,0.2
sample_32,setosa,5.4,3.4,1.5,0.4
sample_33,setosa,5.2,4.1,1.5,0.1
sample_34,setosa,5.5,4.2,1.4,0.2
sample_35,setosa,4.9,3.1,1.5,0.2
sample_36,setosa,5,3.2,1.2,0.2
sample_37,setosa,5.5,3.5,1.3,0.2
sample_38,setosa,4.9,3.6,1.4,0.1
sample_39,setosa,4.4,3,1.3,0.2
sample_40,setosa,5.1,3.4,1.5,0.2
sample_41,setosa,5,3.5,1.3,0.3
sample_42,setosa,4.5,2.3,1.3,0.3
sample_43,setosa,4.4,3.2,1.3,0.2
sample_44,setosa,5,3.5,1.6,0.6
sample_45,setosa,5.1,3.8,1.9,0.4
sample_46,setosa,4.8,3,1.4,0.3
sample_47,setosa,5.1,3.8,1.6,0.2
sample_48,setosa,4.6,3.2,1.4,0.2
sample_49,setosa,5.3,3.7,1.5,0.2
sample_50,setosa,5,3.3,1.4,0.2
sample_51,versicolor,7,3.2,4.7,1.4
sample_52,versicolor,6.4,3.2,4.5,1.5
sample_53,versicolor,6.9,3.1,4.9,1.5
sample_54,versicolor,5.5,2.3,4,1.3
sample_55,versicolor,6.5,2.8,4.6,1.5
sample_56,versicolor,5.7,2.8,4.5,1.3
sample_57,versicolor,6.3,3.3,4.7,1.6
sample_58,versicolor,4.9,2.4,3.3,1
sample_59,versicolor,6.6,2.9,4.6,1.3
sample_60,versicolor,5.2,2.7,3.9,1.4
sample_61,versicolor,5,2,3.5,1
sample_62,versicolor,5.9,3,4.2,1.5
sample_63,versicolor,6,2.2,4,1
sample_64,versicolor,6.1,2.9,4.7,1.4
sample_65,versicolor,5.6,2.9,3.6,1.3
sample_66,versicolor,6.7,3.1,4.4,1.4
sample_67,versicolor,5.6,3,4.5,1.5
sample_68,versicolor,5.8,2.7,4.1,1
sample_69,versicolor,6.2,2.2,4.5,1.5
sample_70,versicolor,5.6,2.5,3.9,1.1
sample_71,versicolor,5.9,3.2,4.8,1.8
sample_72,versicolor,6.1,2.8,4,1.3
sample_73,versicolor,6.3,2.5,4.9,1.5
sample_74,versicolor,6.1,2.8,4.7,1.2
sample_75,versicolor,6.4,2.9,4.3,1.3
sample_76,versicolor,6.6,3,4.4,1.4
sample_77,versicolor,6.8,2.8,4.8,1.4
sample_78,versicolor,6.7,3,5,1.7
sample_79,versicolor,6,2.9,4.5,1.5
sample_80,versicolor,5.7,2.6,3.5,1
sample_81,versicolor,5.5,2.4,3.8,1.1
sample_82,versicolor,5.5,2.4,3.7,1
sample_83,versicolor,5.8,2.7,3.9,1.2
sample_84,versicolor,6,2.7,5.1,1.6
sample_85,versicolor,5.4,3,4.5,1.5
sample_86,versicolor,6,3.4,4.5,1.6
sample_87,versicolor,6.7,3.1,4.7,1.5
sample_88,versicolor,6.3,2.3,4.4,1.3
sample_89,versicolor,5.6,3,4.1,1.3
sample_90,versicolor,5.5,2.5,4,1.3
sample_91,versicolor,5.5,2.6,4.4,1.2
sample_92,versicolor,6.1,3,4.6,1.4
sample_93,versicolor,5.8,2.6,4,1.2
sample_94,versicolor,5,2.3,3.3,1
sample_95,versicolor,5.6,2.7,4.2,1.3
sample_96,versicolor,5.7,3,4.2,1.2
sample_97,versicolor,5.7,2.9,4.2,1.3
sample_98,versicolor,6.2,2.9,4.3,1.3
sample_99,versicolor,5.1,2.5,3,1.1
sample_100,versicolor,5.7,2.8,4.1,1.3
sample_101,virginica,6.3,3.3,6,2.5
sample_102,virginica,5.8,2.7,5.1,1.9
sample_103,virginica,7.1,3,5.9,2.1
sample_104,virginica,6.3,2.9,5.6,1.8
sample_105,virginica,6.5,3,5.8,2.2
sample_106,virginica,7.6,3,6.6,2.1
sample_107,virginica,4.9,2.5,4.5,1.7
sample_108,virginica,7.3,2.9,6.3,1.8
sample_109,virginica,6.7,2.5,5.8,1.8
sample_110,virginica,7.2,3.6,6.1,2.5
sample_111,virginica,6.5,3.2,5.1,2
sample_112,virginica,6.4,2.7,5.3,1.9
sample_113,virginica,6.8,3,5.5,2.1
sample_114,virginica,5.7,2.5,5,2
sample_115,virginica,5.8,2.8,5.1,2.4
sample_116,virginica,6.4,3.2,5.3,2.3
sample_117,virginica,6.5,3,5.5,1.8
sample_118,virginica,7.7,3.8,6.7,2.2
sample_119,virginica,7.7,2.6,6.9,2.3
sample_120,virginica,6,2.2,5,1.5
sample_121,virginica,6.9,3.2,5.7,2.3
sample_122,virginica,5.6,2.8,4.9,2
sample_123,virginica,7.7,2.8,6.7,2
sample_124,virginica,6.3,2.7,4.9,1.8
sample_125,virginica,6.7,3.3,5.7,2.1
sample_126,virginica,7.2,3.2,6,1.8
sample_127,virginica,6.2,2.8,4.8,1.8
sample_128,virginica,6.1,3,4.9,1.8
sample_129,virginica,6.4,2.8,5.6,2.1
sample_130,virginica,7.2,3,5.8,1.6
sample_131,virginica,7.4,2.8,6.1,1.9
sample_132,virginica,7.9,3.8,6.4,2
sample_133,virginica,6.4,2.8,5.6,2.2
sample_134,virginica,6.3,2.8,5.1,1.5
sample_135,virginica,6.1,2.6,5.6,1.4
sample_136,virginica,7.7,3,6.1,2.3
sample_137,virginica,6.3,3.4,5.6,2.4
sample_138,virginica,6.4,3.1,5.5,1.8
sample_139,virginica,6,3,4.8,1.8
sample_140,virginica,6.9,3.1,5.4,2.1
sample_141,virginica,6.7,3.1,5.6,2.4
sample_142,virginica,6.9,3.1,5.1,2.3
sample_143,virginica,5.8,2.7,5.1,1.9
sample_144,virginica,6.8,3.2,5.9,2.3
sample_145,virginica,6.7,3.3,5.7,2.5
sample_146,virginica,6.7,3,5.2,2.3
sample_147,virginica,6.3,2.5,5,1.9
sample_148,virginica,6.5,3,5.2,2
sample_149,virginica,6.2,3.4,5.4,2.3
sample_150,virginica,5.9,3,5.1,1.8
